Sample,   PC1,   PC2,     A,SiO2 wt%
s 180202 [14137],  3.06, -5.29, -0.04, 51.98
s RKY-18 [9441],  7.70, -4.15,  0.12, 49.97
s GB-90 [8012],  3.90, -8.84,  0.43, 49.08
s 39JTL 97-1 [13590],  2.96, -8.87,  0.05, 49.75
s 102TOH 95-1 [13590],  2.60, -6.13,  4.89, 50.56
s 103TOH 94-1 [13590],  6.03, -4.51,  1.19, 50.53
s 105TTT 96-1 [13590],  6.21, -4.46,  1.19, 50.82
s 17VIE 64-3/163.90 [13590], -0.42, -6.01,  4.12, 54.49
s 6TOH 93-1 [13590],  2.55, -8.69,  4.69, 50.37
s 39TOH 96-1 [13590],  3.07, -7.26,  5.88, 50.96
s 74IJY 94-1 [13590],  6.29, -6.08,  3.51, 50.51
s 2B1-PTP-03 [17129],  6.80, -2.18,  0.03, 51.10
s 47-PTP-03 [17129],  4.97, -2.72,  0.35, 51.67
s 496122 [11427],  4.56, -6.75,  0.11, 49.35
s 499705MA [13810],  5.93, -7.94,  0.16, 49.46
s 478862 [13997],  4.47, -8.41,  0.12, 49.55
s 497142 [13997],  3.41, -8.76,  0.49, 49.35
s 508959 [15563],  3.25, -8.80,  0.43, 49.45
s HB96-4 [5672],  3.33, -9.08,  0.09, 49.42
s HB4-2 [5198],  3.13, -8.61,  0.08, 50.24
s S143 [13777],  2.25, -9.76,  1.63, 50.02
s 40869 [5571],  2.39, -7.35,  0.14, 51.27
s GC430697 [7097], -2.11, -6.35,  0.83, 53.73
s 499741 [11427],  7.17, -9.17,  0.41, 49.83
s BX248 [8498],  3.47, -8.77,  0.07, 50.51
s 485474 [11627], 16.46,  4.25,  0.41, 49.34
s 493109 [14913],  3.80, -9.22,  0.32, 49.81
s KX3B [5667],  2.08,-11.54,  0.19, 49.90
s 179732 [14137],  6.06, -3.59,  0.26, 52.42
s G20 [7307], 13.94,  1.86,  0.07, 49.41
s 2000-14 [7552], 10.11, -3.78,  0.14, 49.64
s 1-43 [6398],  9.73,  5.05,  3.89, 55.82
s SC2007-04 [16512],  2.46, -8.97,  0.12, 54.50
s N-325 [7341],  7.44, -3.97,  0.13, 50.44
s GPT88-8B [7260],  5.79, -8.15,  0.21, 49.63
s L17 [5202],  2.87,-10.54,  0.08, 49.62
s KJP-87-97 [5993],  3.13, -8.10,  0.11, 49.98
s 165JTL 96-1 [13590],  3.51, -7.76,  1.21, 49.70
s 280JSN 95-1 [13590],  9.47, -0.93,  3.50, 51.04
s 104TOH 94-1 [13590],  5.51, -4.46,  6.99, 50.70
s 12TOH 95-1 [13590],  2.12,-10.32,  3.55, 50.20
s 192TTT 97-1 [13590],  3.22, -7.32,  2.40, 50.09
s 195TTT 96-1 [13590],  6.37, -3.77,  3.50, 50.62
s 1SII 93-2/62.00 [13590],  2.39, -7.32,  1.81, 51.13
s 203JEV 95-1 [13590],  3.37, -7.26,  2.99, 50.19
s 300TOH 93-1 [13590],  2.64, -7.15,  2.45, 50.58
s 123IJY 94-3 [13590],  3.54, -6.83,  1.77, 50.77
s 23SMS 62-4/160.25 [13590],  2.15, -7.51,  0.61, 51.35
s 31MKT 94-1 [13590],  3.86, -6.51,  2.35, 50.30
s 36TOH 96-1 [13590],  4.38, -5.22,  4.67, 51.08
s 57TOH 94-1 [13590] / s 57-TOH-94 [13764],  1.89, -7.38,  1.80, 52.51
s 478857 [13997],  4.43, -8.49,  0.14, 49.54
s PL95-31 [7260],  1.60,-11.46,  0.22, 49.65
s T1 [6808], 14.29,  2.04,  0.04, 49.88
s U913/38 [5549],  7.23, -2.04,  0.85, 53.33
s 176702 [7306], -0.08, -5.62,  0.92, 52.68
s 179766 [14137],  3.21, -9.60,  0.01, 50.04
s 87RPS-0043 [5823], 15.61,  3.33,  0.11, 49.51
s 2002-85 [8521],  6.89, -5.94,  0.52, 49.86
s RIH-14 [9441],  9.49, -3.71,  0.62, 50.14
s 46-BG-07 [16555], -1.28, -4.60,  0.21, 56.10
s LU12 [5202], 13.72,  1.52,  0.04, 49.57
s PL95-5 [8681],  3.74, -9.02,  0.65, 49.66
s K46 [10270], 14.17,  2.30,  0.17, 49.01
s H04 [16588],  9.95,  3.30,  0.24, 52.61
s 485475 [11627], 15.84,  2.89,  0.14, 49.42
s 95-KYT-51 [5524],  2.47, -9.53,  0.19, 50.39
s 84GRS-1277 [5564],  3.33, -9.36,  0.17, 49.69
s 56A [6788],  2.21, -8.68,  0.23, 50.95
s 98-YK-39 [8924], -0.31, -7.69,  1.18, 51.30
s 165374 [8808], 11.02,  8.53,  0.10, 55.52
s 179768 [14137],  3.27, -8.51,  0.09, 50.30
s LU2 [5667],  3.89, -8.23,  0.08, 49.64
s L42 [5204],  3.89, -8.23,  0.08, 49.64
s 98-15-15 [8685],  3.28, -8.07,  0.11, 50.53
s LU8 [5667],  3.47, -8.65,  0.10, 49.74
s 87RPS-0048 [5823], 13.52,  1.13,  0.07, 49.68
s PL95-24 [8681],  4.13, -8.63,  0.44, 49.63
s KJP-87-99 [5993],  8.79, -4.80,  0.45, 51.01
s HJO-86-116 [5993],  3.79, -6.35,  0.12, 50.61
s 192JSN 95-1 [13590], 10.34,  0.68,  2.33, 51.84
s 21TOH 93-1 [13590],  6.26, -3.22,  2.35, 50.98
s 197TTT 97-1 [13590], 13.40,  5.58,  3.49, 52.02
s 123IJY 94-2 [13590],  3.15, -7.05,  1.19, 50.79
s 95JTL 96-1 [13590],  3.06, -7.78,  4.78, 51.07
s 36-PTP-03 [17129],  8.04, -3.20,  0.41, 51.82
s 497107 [13997],  2.72, -9.43,  0.35, 49.59
s 508078 [15563],  4.36, -8.46,  0.13, 49.86
s 508947 [15563],  3.21, -8.91,  0.30, 49.70
s K730 [9554],  4.96, -4.74,  0.05, 50.01
s WA96-31 [5575],  3.90, -8.63,  0.11, 49.66
s KK39 [13427],  3.48,-10.16,  0.14, 49.90
s S113 [13777],  2.38, -8.24,  0.14, 50.72
s 180203 [14137],  3.87, -7.20, -0.02, 50.23
s WA88/347 [5820], -1.35, -5.45,  2.32, 52.29
s RIH-21 [9441],  7.41, -4.10,  0.15, 49.58
s 95-354 [7161],  9.51,  3.97,  0.04, 53.38
s 87RPS-0044 [5823], 14.39,  1.90,  0.08, 49.64
s RL95-23 [5204],  3.49, -8.49,  0.12, 49.80
s MU96-20 [5201],  5.99, -5.73,  0.11, 49.59
s PL95-15 [8681],  4.09, -7.98,  0.50, 49.70
s AT8 [12764],  3.00, -9.55,  0.15, 51.28
s KM129 [17715],  2.58,-10.44,  0.18, 50.47
s SA 229-5 [5316], 17.82,  3.97,  0.02, 49.84
s SA 107-8 [5316], 11.68, -2.52,  0.06, 49.95
s 1-J29 [6398] / s J29 [5488],  9.65,  5.64,  0.48, 56.63
s 84GRS-0075 [5564],  3.19, -8.28,  0.11, 49.80
s 174468 [7306],  0.06, -5.05,  0.34, 53.71
s CB90-6B [7260],  1.95, -9.17,  0.67, 50.05
s 43 [8920],  3.92, -7.58,  0.09, 49.99
s 8707/2 [7221] / s 07/2 [9427], 11.42, -3.58,  0.12, 49.17
s 137JSK 93-1 [13590],  4.22, -5.88,  4.72, 51.15
s 498260 [13799],  3.74, -7.81,  0.10, 49.74
s 498265 [13799],  4.51, -6.70,  0.14, 49.82
s 508951 [15563],  3.60, -8.32,  0.16, 49.79
s JEH-2007–24 [15680], 12.76,  1.83,  0.20, 51.02
s 84-610 [5686],  2.54, -6.98,  0.13, 51.68
s 133731IC [7164],  0.75, -5.95,  0.24, 53.06
s JW-5 [5844],  5.48, -1.78,  0.76, 51.53
s GT 05 [12648],  2.01, -8.28,  0.34, 51.13
s LU13-1 [5667],  2.74, -8.97,  0.15, 49.81
s CGR91-18C [7260],  2.36, -9.71,  0.38, 50.12
s PIC-74 [18733],  1.75, -8.84,  0.12, 50.30
s MSA 38-4 [14411], 17.71, 11.09,  0.04, 52.17
s CGR91-18A [7260],  1.92, -9.93,  0.37, 50.04
s PL95-39 [8681],  4.29, -6.20,  0.92, 49.84
s RKY-8 [9441],  6.73, -5.89,  0.15, 49.94
s 96048540A [14137],  6.50, -5.42,  0.03, 51.09
s GB-87 [8012],  3.73, -8.66,  1.26, 48.85
s 99-BG-04 [16555],  4.57, -7.60,  0.14, 50.70
s 485494 [14913],  2.43, -9.47,  1.27, 50.09
s MSA 25-1 [14411], 16.98,  7.58,  0.04, 51.87
s 179799 [14137],  2.29, -6.64,  0.36, 50.66
s ULTRAMAFIC ROCK [6045], 13.38,  0.63,  0.07, 49.99
s BY-4 [13000], -1.04,-10.33,  0.17, 49.95
s KM093 [17715],  2.49, -9.07,  0.25, 50.84
s 60-BG-04 [16555],  3.76, -9.34,  0.12, 50.02
s S43 [12642],  2.27, -7.84,  0.27, 50.58
s 96048540D [14137],  6.74, -4.07,  0.15, 51.24
s 122JSK 93-1 [13590],  1.37, -6.85,  6.64, 51.27
s 184TOH 93-1 [13590],  7.20, -0.47,  2.92, 51.80
s 135TOH 94-1 [13590], 10.38,  1.54,  5.81, 52.12
s 163TOH 94-1 [13590],  8.53,  1.42,  4.65, 52.32
s 178TTT 96-1 [13590],  6.11, -2.64,  7.61, 51.40
s 96JTL 95-2 [13590],  3.55, -7.31,  2.37, 50.66
s 438EJL 94-1 [13590],  3.28, -7.24,  2.34, 50.61
s 71IJY 94-1 [13590],  2.21, -7.95,  2.46, 51.17
s 61 [13382], 11.44, -0.89,  0.30, 49.90
s G93-143 [16978],  3.57,-10.29,  0.19, 49.16
s 496105 [11427],  7.54,-10.10,  0.06, 49.97
s 95-KYT-40 [5524], -0.80,-11.79,  0.18, 51.25
s V10-2 [5667],  2.69,-10.05,  0.11, 50.24
s 54-BG-04 [16555],  2.28, -9.25,  0.03, 51.33
s 485491 [14913],  3.65, -8.47,  0.12, 49.93
s 180228 [7306], -0.61, -5.82,  0.40, 52.96
s 485444 [11627],  2.42,-11.53,  0.15, 49.71
s RKY-10 [9441],  5.95, -5.43,  0.22, 50.37
s RKY-12 [9441],  7.84, -4.20,  0.40, 50.03
s MC7-2 [14411], 15.06,  6.29,  0.01, 52.19
s KAF87-15C [8681],  3.53, -8.75,  0.60, 50.05
s BA-7 [13002],  7.11, -6.53,  0.29, 50.25
s GC200697 [7097],  3.18, -8.31,  0.22, 50.33
s S51 [12642],  3.04, -7.11,  0.28, 51.04
s 499743 [11427], 12.72,  1.11,  0.25, 49.89
s GO04 [8519],  5.01, -9.57,  0.91, 49.87
s 6-V [9080],  4.35, -5.39,  0.10, 50.95
s 8727/6 [10680],  7.21, -4.24,  0.33, 50.04
s 179JSN 95-2 [13590],  3.08, -7.68,  3.50, 50.54
s 119JSK 93-2/19.00 [13590],  5.61, -5.35,  5.85, 51.80
s 90TOH 95-1 [13590],  2.76, -6.13,  1.79, 51.72
s 498281 [13799],  3.20, -8.77,  0.66, 50.01
s 498256B [13799],  6.15, -5.79,  0.06, 49.89
s 497112 [13997],  5.94, -4.62,  0.40, 50.25
s 465601 [12870],  7.62, -6.38,  0.52, 50.10
s 96TB0015 [5196],  7.37, -4.26,  0.09, 51.46
s HB96-1 [5575],  3.61, -7.41,  0.11, 49.92
s WA95-1 [5575],  2.53,-10.02,  0.12, 50.05
s WA96-8 [5575],  3.48, -7.65,  0.11, 49.97
s 29162 [7162],  2.09, -9.07,  0.08, 50.81
s T3 [6808], 14.14,  2.16,  0.05, 50.07
s 93-23 [5686],  3.85, -7.87,  0.06, 50.45
s SIN 01 [11947],  0.84,-10.30,  0.12, 51.52
s SIN 21 [11947],  0.50,-11.01,  0.19, 50.69
s S16 [13777],  2.60, -9.09,  0.09, 50.78
s S117 [13777],  2.15, -6.64,  0.13, 51.64
s 142360 [5526],  7.99,  1.39,  0.40, 51.66
s 142360 [7195],  7.99,  1.39,  0.40, 51.66
s WA88/160 [5820],  9.21, -0.10,  1.83, 51.90
s P40 [8682],  3.88, -7.14,  0.47, 50.26
s MU95-18 [5201],  2.96, -7.28,  0.10, 50.02
s 26-BG-07 [16555], -2.49, -3.45,  0.34, 56.85
s BA-8 [13002],  3.36, -7.80,  0.22, 50.04
s 84GRS-0047 [5564],  4.16, -8.07,  0.06, 49.98
s DH95-2 [5198], 13.04, -0.36,  0.18, 50.11
s WA91/51 [5820], -2.49, -5.26,  2.43, 52.64
s PL95-32 [7260],  2.23, -9.86,  0.16, 50.09
s KAF87-18A [8681],  5.20, -5.96,  0.47, 49.98
s 54 [8920],  3.15, -7.91,  0.29, 50.36
s 2-3 [13706],  2.27, -3.53,  0.16, 54.36
s 52-IL-98-10 [18456],  1.79, -9.49,  0.62, 50.13
s 465418 [7552],  7.45, -5.81,  0.25, 50.18
s MU96-21 [5201],  3.85, -7.90,  0.17, 50.00
s 1-1 [13706],  2.60, -9.23,  0.26, 51.22
s SIG-188 [16345],  8.14, -2.81,  0.47, 50.98
s KX2 [5667],  4.53, -7.16,  0.12, 50.05
s VL10 [5566],  2.77, -9.49,  0.18, 50.40
s PL95-23 [8681],  5.41, -6.00,  0.41, 50.02
s D0309-1 [12582],  3.21,-10.11,  0.63, 50.56
s E-7/6 [5792],  3.07, -7.08,  0.12, 50.56
s 243JSN 95-1 [13590],  3.03, -6.24,  3.50, 51.38
s 183TTT 96-3 [13590],  9.38, -2.24,  3.60, 51.89
s 82TOH 95-1 [13590],  2.36, -7.37,  1.78, 51.27
s 121IJY 94-1 [13590],  2.79, -7.53,  1.77, 51.22
s 121IJY 94-1 [13590],  1.66, -8.12,  2.98, 51.60
s 123IJY 94-1 [13590],  2.74, -6.22,  5.86, 51.29
s HS541 [8684],  3.01, -5.59,  0.08, 51.93
s 98M126 [8702],  3.60, -9.28,  0.12, 50.12
s 498237 [13799],  3.38, -7.84,  0.20, 50.06
s 498219 [13799],  3.92, -7.40,  0.27, 50.09
s WA95-4 [5575],  3.68, -7.22,  0.20, 50.16
s WA95-5 [5575],  3.58, -7.81,  0.15, 50.15
s B2 [6808], 15.87,  3.17,  0.01, 49.55
s PL-10 [8681],  3.27, -8.56,  0.56, 50.13
s GT 14 [12648],  2.38, -8.18,  0.19, 51.07
s LU95-13 [5202],  4.04, -6.83,  0.29, 50.19
s 511133 [17722],  0.85, -9.86,  0.22, 50.63
s 2002-93 [8521],  2.73, -8.95,  0.82, 50.44
s 462925 [5951],  5.56, -7.79,  0.27, 50.42
s GS-24 [8924],  0.00, -6.22,  0.21, 53.45
s 34 [8920],  4.50, -7.62,  0.11, 50.50
s 179769 [14137],  3.43, -5.94,  0.01, 50.74
s 45-BG-07 [16555], -1.38, -4.62,  0.28, 56.46
s TK16 [8521],  3.73, -7.73,  0.64, 50.25
s MU95-20 [5204],  2.62, -7.64,  0.14, 50.17
s 180232 [7068],  1.09, -4.46,  0.27, 52.74
s 180232 [7306],  1.09, -4.46,  0.27, 52.74
s 499742 [11427], 12.67,  1.44,  0.25, 50.04
s PL95-36 [8681],  3.73, -7.14,  0.52, 50.12
s BA-29 [13002],  2.71, -8.60,  0.18, 50.31
s T-7 [18431], 10.84, -1.36,  0.02, 50.21
s LB398 [17715],  2.26, -7.97,  0.14, 51.60
s D3 [16588],  2.33, -7.38,  0.10, 51.29
s 465427 [7552], 12.50,  0.43,  0.22, 50.18
s 496114 [11427],  3.68, -9.24,  0.24, 50.62
s 180218 [14137],  3.52, -6.43,  0.12, 51.28
s 2ARO 93-2/225.00 [13590],  0.76, -6.67,  0.19, 53.14
s D7 [16588],  2.28, -7.70,  0.12, 51.23
s GO100 [8519],  3.51, -7.80,  0.77, 50.13
s CR04 [8519],  5.49, -7.14,  0.30, 50.18
s PAN-86-6 [5993],  3.32, -7.27,  0.31, 50.89
s 9437 [5231],  2.62, -8.91,  0.11, 50.19
s 180JSN 95-1 [13590],  3.92, -5.43,  7.56, 51.51
s 187JSN 95-2 [13590],  3.73, -5.66,  3.51, 52.23
s 240JSN 95-1 [13590],  5.60, -3.13,  0.61, 52.42
s 26JTL 97-1 [13590],  2.82, -8.63,  1.19, 50.34
s 33JSN 95-1 [13590],  2.02, -8.04,  2.98, 51.06
s 109TTT 96-1 [13590],  4.34, -4.23,  6.61, 51.40
s 157TOH 94-1 [13590],  5.18, -1.24,  1.75, 51.95
s 5TOH 96-1 [13590],  0.59, -9.64,  5.84, 51.47
s 96IJY 94-1 [13590],  5.13, -2.53,  0.60, 52.32
s HJO-87-90 [17129],  4.60, -4.86,  0.09, 51.26
s 462933 [7552],  5.57, -7.83,  0.31, 50.48
s 508958 [15563],  3.15, -8.04,  0.17, 50.23
s SC20 [5575],  1.05, -6.41,  0.17, 53.23
s SC95-127 [5575],  2.93, -7.62,  0.24, 50.38
s L10 [5202],  3.44, -9.91,  0.09, 50.32
s T12 [6808],  2.08, -9.08,  0.06, 50.51
s SIN 02 [11947],  1.06, -9.66,  0.20, 51.44
s 4700-4307 [8678],  2.55, -5.99,  0.60, 51.05
s MO7 [13000],  1.81, -9.94,  0.20, 50.52
s KM138 [17715],  0.41,-11.12,  0.69, 50.85
s MO1 [13000],  2.86, -8.84,  0.15, 51.07
s GC070697 [7097],  2.27, -9.07,  0.36, 50.44
s DH95-4 [5198],  2.46, -9.33,  0.13, 50.34
s 339538 [6045], 13.23,  0.68,  0.12, 50.17
s PL4 [7260],  2.13, -9.56,  0.14, 50.36
s D0146-1 [12582],  2.49, -7.79,  0.27, 51.58
s 176756 [14137],  2.22, -8.44, -0.03, 51.52
s 485457 [11627],  4.01, -7.66,  0.20, 50.19
s PIC-42 [18733],  5.96, -4.37,  0.09, 51.37
s 179817 [14137],  6.89, -5.99, -0.04, 49.93
s 5HP 92-1 [13590],  3.06, -9.11,  0.19, 50.15
s 89109/1 [7221] / s 109/1 [9427],  3.61, -8.82,  0.13, 49.69
s 8730/1 [10680],  5.71, -5.37,  0.29, 50.27
s 14SII 94-1/28.80 [13590],  7.50, -1.71,  1.19, 51.69
s 289JTL 97-1 [13590],  3.93, -7.56,  5.90, 50.23
s 97JSK 93-1/42.50 [13590],  4.71, -4.20,  5.25, 51.69
s 28SMS 62-2/86.65 [13590],  8.38, -0.87,  0.78, 51.55
s 63SMS 63-2/64.75 [13590], 14.78,  5.85,  0.00, 52.31
s WV-135 [5209],  3.59, -5.36,  0.03, 50.17
s 96TB0046 [5196], -1.90, -9.81,  0.11, 51.53
s STN4 [5667],  2.64, -9.26,  0.15, 50.57
s DH96-8 [5672],  3.49, -7.69,  0.07, 50.22
s 135587IC [7164],  5.82, -0.99,  0.33, 52.01
s 95-07374 [7164],  0.83,-10.02,  0.18, 51.36
s HB95-17 [5575],  1.69, -7.99,  0.24, 50.28
s HE95-6 [5575],  1.94, -8.93,  0.23, 50.45
s SIN 22 [11947],  0.10, -9.61,  0.11, 51.60
s SIN 25 [11947],  0.54,-10.05,  0.16, 50.94
s GT 19 [12648],  1.45, -7.74,  0.20, 51.52
s GB-82B [8012],  2.20, -9.49,  0.37, 50.15
s LLS5 [13427],  2.74, -7.12,  0.86, 50.34
s 2002-92 [8521],  1.73, -7.41,  0.48, 50.31
s MU95-28 [5201],  2.96, -7.41,  0.10, 50.39
s 174451 [7306],  1.22, -7.59,  0.24, 52.64
s A2 [5316], 18.33,  8.96,  0.01, 50.22
s MU95-15 [5204],  2.96, -8.03,  0.35, 50.36
s 190940 [17170],  2.60, -5.89,  0.19, 51.44
s L43 [5204],  2.97, -7.38,  0.08, 50.39
s DY-4 [12751], 19.10, 13.82,  0.06, 53.04
s MSA 37-1 [14411], 18.45, 13.76,  0.02, 53.41
s 98-19-10 [8685],  1.39, -8.55,  0.14, 51.15
s 510750-2 [17073],  0.89, -9.57,  0.10, 52.09
s 96048529 [14137],  4.16, -2.78,  0.00, 52.29
s PL95-37 [8681],  2.28, -6.89,  0.06, 51.48
s 179788 [14137],  3.42, -7.95,  0.20, 50.49
s LU96-12 [5667],  3.34, -9.03,  0.10, 50.48
s L44 [5204],  3.49, -9.35,  0.10, 50.65
s 159639 [14137], -0.25, -3.51,  0.10, 54.77
s 176759 [14137],  2.14, -5.98,  0.15, 52.73
s 507/4 [7221],  3.56, -9.17,  0.12, 49.76
s KJP-87-16 [5993], 13.42,  3.63,  0.45, 52.07
s HJO-86-117 [5993],  3.64, -6.06,  0.09, 51.16
s 180JTL 96-1 [13590],  3.48, -7.01,  4.11, 50.53
s 153TOH 94-1 [13590],  4.04, -3.53,  1.76, 51.72
s 207JEV 95-1 [13590],  1.88, -7.68,  0.08, 51.00
s 58TOH 96-1 [13590],  3.14, -6.61,  5.83, 51.41
s HS431A [8684],  1.12, -9.63,  0.12, 51.04
s 83 [13382], 11.72, -0.49,  0.33, 50.44
s JG03/42 [13196],  1.76, -6.39,  1.26, 51.71
s 478864 [13997],  3.66, -7.62,  0.17, 50.56
s SC95-79 [5575],  2.79, -8.34,  0.18, 50.47
s HB96-9 [5575],  2.73, -8.85,  0.10, 50.27
s GT 02 [12648],  1.77, -7.55,  0.20, 51.94
s H16 [16588],  3.76, -3.57,  0.49, 52.11
s 465417 [7552],  5.82, -5.61,  0.41, 50.48
s V38 [5667],  1.20, -8.90,  0.25, 50.56
s PL5 [7260],  1.82, -9.98,  0.11, 50.47
s MC 5-4 [16344], 22.08, 11.89,  0.01, 49.70
s 2002-73 [8521],  2.88, -6.86,  0.67, 50.46
s KJ8 [11429],  3.29, -8.22,  0.09, 50.46
s RC96-7 [5204],  3.43, -7.62,  0.08, 50.50
s SL88-15 [7218],  1.28, -9.76,  0.10, 50.34
s PL95-12C [8681],  3.67, -7.92,  0.41, 50.46
s PL95-12B [8681],  3.88, -7.36,  0.42, 50.41
s MU95-23 [5201], 13.47,  2.72,  0.57, 50.49
s SL95-4N [7218],  3.04, -9.29,  0.39, 50.90
s KJ1 [11429],  3.20, -8.18,  0.16, 50.65
s KJ6 [11429],  2.96, -8.01,  0.19, 50.88
s PIC-85 [18733],  2.80, -7.99,  0.12, 51.57
s 179827 [14137],  7.18, -5.59,  0.18, 51.05
s 508217 [17722],  1.10, -8.19,  1.12, 50.91
s 105/1 [7221],  3.53, -9.06,  0.13, 49.91
s CR06 [8519],  4.80, -7.25,  0.33, 50.42
s 165TOH 94-1 [13590],  7.86, -1.19,  1.76, 52.03
s 91TOH 95-1 [13590],  1.45, -7.53,  0.05, 52.10
s 29TOH 96-1 [13590],  2.66, -7.29,  1.80, 51.28
s 98H360 [8702],  2.81, -6.94,  0.30, 50.54
s D14 [16588],  3.09, -2.70,  0.57, 52.12
s G93-140 [16978], 11.54, -4.71,  0.10, 49.91
s V17-2 [7155],  2.87, -7.24,  0.59, 51.24
s GPT88-8A [7260],  2.07, -8.68,  0.25, 50.50
s SC95-20 [5582],  2.06, -9.94,  0.23, 50.93
s 93-27 [5686],  2.04, -5.77,  0.29, 51.97
s BA-10 [13002],  2.96, -7.53,  0.14, 50.52
s SIN 17 [11947],  0.65, -9.94,  0.11, 51.09
s S106 [13777],  2.85, -6.33,  0.13, 51.07
s WA88/190 [5820], 13.65,  5.52,  0.89, 52.99
s 465619A2 [12870],  5.97, -6.42,  0.20, 50.63
s BA-33 [13002],  3.45, -7.75,  0.24, 50.59
s 184-BG-05 [16555],  7.94, -0.43,  0.02, 52.08
s YK-7 [5571],  1.38, -8.05,  0.12, 51.46
s JW-19 [5844],  4.94, -2.85,  0.89, 51.95
s 96237 [12698],  2.29, -8.17,  0.09, 51.37
s SA 107-6B [5316], 11.44, -1.49,  0.10, 50.69
s 17-BG-05 [16555], -2.64, -6.53,  0.21, 54.99
s 179767 [14137],  2.53, -8.55,  0.02, 50.67
s S40 [12642],  3.15, -6.31,  0.20, 50.82
s 485406 [11427],  5.38, -3.03,  0.03, 51.48
s 485482 [11627], 10.91, -0.30,  0.24, 50.39
s GC040697 [7097],  1.80, -9.05,  0.15, 50.99
s 90BA28 [6321],  2.25, -3.44,  0.84, 53.56
s PIC-57 [18733],  3.48, -7.27,  0.15, 51.61
s 174473 [7306],  2.20, -7.72,  0.33, 51.37
s 96048550 [14137],  1.95, -6.94,  0.05, 52.10
s 499716 [11427],  8.71, -9.66,  1.14, 50.71
s GC190697 [7097],  2.75, -7.91,  0.17, 51.19
s 174453 [7306],  1.73, -4.28,  0.02, 52.87
s LU95-6 [5202],  1.61, -9.91,  0.11, 50.63
s CR103 [8519],  4.17, -7.27,  0.25, 50.51
s GO109 [8519],  3.03, -6.49,  0.60, 50.56
s 9436 [5231],  2.07, -8.83,  0.12, 50.60
s 149TOH 94-1 [13590],  4.19, -4.18,  0.04, 51.25
s 45TOH 94-1 [13590],  3.22, -5.59,  4.67, 52.65
s 27TOH 96-1 [13590],  2.71, -7.06,  2.35, 51.69
s 72TOH 96-1 [13590],  3.77, -5.20,  0.03, 52.09
s 75IJY 94-2 [13590],  1.39, -8.38,  0.78, 51.79
s 75-PTP-03 [17129],  1.95, -2.95,  0.02, 52.64
s 69-PTP-03 [17129], 11.56,  2.23,  0.15, 52.48
s 11 [13673] / s 63-11-348.20 [13590], -7.50, -7.44,  4.49, 54.15
s BD11 [16702], 16.78,  5.60,  0.02, 50.69
s 478859 [13997],  3.70, -7.90,  0.12, 50.66
s 89-114 [5686], -0.75, -8.05,  0.27, 52.15
s 95-07372 [7164],  1.30, -9.31,  0.48, 51.12
s SIN 23 [11947],  0.17, -8.21,  0.20, 51.56
s S129 [13777],  1.42, -9.03,  0.12, 51.49
s 174469 [7306],  0.26, -5.23,  0.27, 53.79
s 179793 [14137],  3.96, -5.91,  0.16, 51.37
s RIH-2 [9441],  8.03, -3.75,  0.16, 51.11
s SL88-09 [7218],  2.76, -7.99,  0.23, 50.66
s D0309-3 [12582],  2.42, -8.19,  0.26, 51.29
s 485490 [14913],  3.20, -6.92,  0.48, 50.77
s SL95-5 [7218],  3.23, -7.87,  0.29, 50.69
s C-1775-13 [5792],  3.74, -4.98,  0.13, 51.34
s 4700-4537 [8678],  1.45, -6.88,  0.55, 51.31
s LU3-1 [5667],  3.33, -7.56,  0.12, 50.61
s 95-KYT-24 [5524],  1.05, -7.30,  0.32, 52.46
s RL95-40 [5204], 10.81, -0.62,  0.04, 50.61
s MU95-1 [5204],  3.06, -7.22,  0.20, 50.69
s RKY-13 [9441],  5.44, -5.29,  0.24, 51.28
s SIG-226 [16345],  4.08, -6.44,  0.60, 51.60
s 165387 [8808],  9.72,  7.14,  0.08, 55.04
s P36 [8682],  2.90, -7.29,  0.50, 50.97
s 165377 [8808], 12.36, 10.90,  0.08, 56.07
s 179765 [14137],  2.71, -8.19,  0.02, 50.79
s 1-2 [13706],  2.32, -3.61,  0.07, 53.93
s DSV95-19 [5566],  2.51, -6.53,  0.20, 50.76
s 82GRS-1026 [5564],  3.41, -8.10,  0.12, 50.62
s 179825 [14137],  2.79, -8.06, -0.03, 50.98
s SIG-233 [16345],  6.75, -5.36,  0.34, 50.86
s D15 [16588],  2.13, -7.64,  0.21, 51.37
s 485466 [11627],  4.86, -6.30,  0.18, 50.62
s 90-53 [5686], -0.78, -9.08,  0.07, 52.41
s 104/1 [7221],  3.67, -8.68,  0.15, 50.10
s GO107 [8519],  4.77, -6.53,  0.19, 50.69
s CR10 [8519],  5.07, -6.62,  0.26, 50.68
s GO15 [8519],  4.29, -9.43,  0.83, 50.53
s 537MAF 95-1 [13590],  2.52, -6.27,  2.93, 51.87
s 83TOH 95-1 [13590],  2.75, -6.21,  5.26, 52.83
s KJP-87-38 [17129],  3.89, -4.61,  0.17, 51.41
s 98H329 [8702],  4.14, -7.12,  0.15, 50.91
s G42 [7307],  6.28, -4.00,  0.31, 50.51
s P24 [8682],  4.94, -5.28,  0.54, 50.93
s 465617C2 [12870],  6.10, -6.29,  0.18, 50.81
s 478858 [13997],  3.21, -8.37,  0.21, 50.86
s 96TB0023 [5196],  8.10, -1.59,  0.15, 52.48
s 86-359 [5686],  2.68, -4.87,  0.11, 52.43
