NoEch.orig,DataSource,Age (Ga),Age,Most_likely,SiO2,TiO2,Al2O3,FeOt,MgO,MnO,CaO,Na2O,K2O,P2O5,LOI,A/NK,A/CNK,K2O/Na2O,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,La/Lu N,La,Lu,,Proba,Class.auto.2,Proba.2
,"Garde, 1997",3.11,3110,Sodic HP,71.18,0.23,16.39,1.0029297,0.44,0.03,2.39,5.71,1.514,0.061,0.29,1.4856354,1.0658172,0.26514886,,,15,10,72,5,12,30,17,9.1,1020,,79,0.6,,,1180,,,19,2,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,71.51,0.18,16.25,0.77,0.26,0.02,2.44,5.72,1.46,0.06,0.28,1.4785745,1.0533629,0.25524476,,,10,2,54,3,9,29,18,5.7,962,1,83,0.5,,,788,,,17,3,,,,,,,,,,,,,,,,,,,,1,class2,1
,"Garde, 1997",3.11,3110,Sodic HP,71.16,0.2,16.31,1.29,0.35,0.02,2.65,5.83,1.1,0.06,0.33,1.512763,1.0455202,0.18867925,,,12,5,73,3,12,24,17,1.4,1030,,79,0.8,,,1140,,,17,2,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,70.49,0.2,16.91,1.58,0.43,0.02,3.29,5.63,0.8,0.06,0.49,1.6696545,1.0496716,0.14209591,,,15,,57,2,,22,18,,964,,36,,,,1040,,,13,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,71,0.26,16.53,1.17,0.45,0.02,2.96,5.08,1,0.06,0.36,1.7511465,1.1152737,0.19685039,,,20,,51,6,20,26,17,0.9,1180,,105,,,,1150,,,13,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,74.63,0.15,13.91,1.5808879,0.45,0.03,3.23,3.98,0.763,0.059,0.23,1.8865147,1.0501086,0.19170854,,,28,6,85,3,9,32,14,11,402,1,54,1.1,,,541,,,7,1,,,,,,,,,,,,,,,,,,,,1,class2,1
,"Garde, 1997",3.11,3110,Sodic HP,71.83,0.12,16.05,1.81,0.29,0.02,2.21,5.42,1.57,0.05,0.46,1.5118894,1.0967512,0.2896679,,,7,,45,,2,18,16,3.5,978,,46,0.5,,,1490,,,22,2,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,71.73,0.11,16.13,0.7969183,0.39,0.01,2.62,5.8,1.1,0.04,0.25,1.5029477,1.0409144,0.18965517,,1.4,10,5,66,5,2,20,21,14,923,1.2,31,0.8,,,460,2,,9,0.7,,6,12,,6,0.6,0.3,,,,,,,0.26,,,,,,0.999,class13,1
,"Garde, 1997",3.11,3110,Sodic HP,72.25,0.14,15.85,0.6739126,0.28,0.02,2.38,5.25,1.75,0.04,0.3,1.505076,1.0667365,0.33333333,,,11,10,44,4,6,15,16,9.9,946,,96,,,,1590,,,23,8,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,72.21,0.36,14.93,2.2208119,0.56,0.03,3.71,4.67,0.538,0.03,0.15,1.8064232,0.9946329,0.11520343,,,41,3,41,,6,33,14,0.7,668,1,248,1.3,,,383,,,11,4,,,,,,,,,,,,,,,,,,,,1,class2,0.999
,"Garde, 1997",3.11,3110,Sodic HP,72.36,0.29,15.67,1.1369373,0.41,0.03,3.36,4.38,0.79,0.03,0.21,1.944012,1.1058666,0.1803653,,,29,4,56,5,10,19,14,1.6,921,,185,0.9,,,816,,,13,3,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,73.7,0.03,15.9,0.18,0.05,0.01,2.44,5.65,1.598,0.025,0.12,1.4422376,1.0283938,0.28283186,,,,10,61,3,9,3,18,7.6,706,,9,,,,1090,,,18,2,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,"Garde, 1997",3.11,3110,Sodic HP,71.5,0.25,15.58,1.6689221,0.71,0.02,3.07,5.09,1.078,0.025,0.15,1.6330532,1.0302625,0.21178782,,1.8,14,4,29,3,6,38,17,17,634,1,173,1.3,,,787,4,,12,12,,53,77,,25,1.8,0.7,,,,,,,,,,,,,0.505,class1,0.999
,"Garde, 1997",3.06,3060,Sodic HP,71.8,0.19,15.91,1.0159354,0.54,0.02,2.74,5.09,1.688,0.102,0.21,1.5596965,1.0479076,0.33163065,,,14,10,41,3,11,21,15,37,497,3,91,1.5,,,797,,,18,4,,,,,,,,,,,,,,,,,,,,1,class2,0.98
,"Garde, 1997",2.98,2980,Sodic HP,64.34,0.45,18.09,3.5078442,1.6,0.06,4.22,4.83,1.778,0.109,0.31,1.8327529,1.0311627,0.36811594,,5.6,45,12,15,13,19,88,21,79,488,6,86,5.1,,,475,4,,15,2.2,,11,20,,10,1.4,0.6,,,,,,,0.36,,,,,,1,class12,0.994
,"Garde, 1997",2.98,2980,Sodic HP,65.18,0.42,18.55,2.4409449,1.21,0.03,4.73,5.29,1.221,0.133,0.55,1.850518,0.9960042,0.23081285,,4.3,39,6,46,5,10,51,22,34,680,3,96,2.3,,2,357,4,,12,2.3,,9,17,,6,1.3,0.6,,,,,,,0.36,,,,,,1,class12,0.999
,"Garde, 1997",2.96,2960,Sodic HP,68.87,0.17,18.01,1.0109069,0.35,0.02,2.96,6.05,1.234,0.024,0.06,1.5954198,1.080351,0.20396694,,1.6,10,6,10,3,2,24,19,27,807,1,70,2,,,649,4,,25,4.6,,21,31,,13,1.2,0.4,,,,,,,,,,,,,0.999,class1,1
,"Garde, 1997",2.96,2960,Sodic HP,71.49,0.29,15.2,1.5859544,0.77,0.03,2.92,4,1.955,0.109,0.34,1.7478173,1.0852666,0.48875,,,26,12,40,8,21,28,13,34,603,2,244,,,,3620,,,13,11,,,,,,,,,,,,,,,,,,,,0.981,class0,0.965
03KB71,"Benn and Moyen, 2008",2.7,2700,Sodic HP,70.59,0.25,14.81,1.3767093,0.69,0.07,2.03,4.62,2.94,0.09,1.61,1.3734929,1.0232336,0.63636364,,,8,32,4,9,14.62,57,40.67,85.84,805.66,4.88,87.57,3.31,,,1206.11,2.21,0.24,30.59,3.06,1,18.25,43.01,4.8,18.32,3.4,0.68,1.29,,0.77,,,,0.83,,,,,,0.979,class9,1
03KB72,"Benn and Moyen, 2008",2.7,2700,Sodic HP,69.85,0.33,15.57,1.7636276,1.04,0.07,2.42,4.76,2.57,0.12,1.64,1.4671327,1.0371261,0.53991597,,,12,32,5,9,20.43,60.91,42.45,76.16,973.42,4.39,115.09,3.92,,,1362.58,2.27,0.21,25.74,3.74,0.91,15.02,32.49,4.62,15.98,3.8,0.72,,,,,,,0.94,,,,,,0.987,class9,1
06KB39,"Benn and Moyen, 2008",2.7,2700,Sodic HP,76.39772,0.15079248,12.70415,1.1993226,0.3395805,0.01614092,1.4670629,4.435586,2.9051706,0.05201564,,1.2166808,0.9691097,0.65496884,40,1.5,13.1,15.13,3,4,,39,,94.75,862.7,3.81,119.3,4.3,,4.275,1282,3.3,0.29,,6.7,1.489,15.74,36.95,4.344,17.02,3.12,0.822,1.908,0.195,0.882,0.132,0.315,0.04,0.27,0.035,,,,,0.977,class9,0.996
1032A,"Bédard, 2006",2.75,2750,Sodic HP,71.14903,0.24730726,16.22456,1.695621,0.7937849,0.02836425,2.6596142,4.815504,2.3215206,0.06469947,1.9107019,1.554839,1.0624665,0.48209296,,3.07,22.2,,,,20.6,27.4,,24.897434,382.10966,3.0848929,125.52925,2.7031977,,0.04913069,758.4737,3.288111,0.09661917,,1.5530677,0.2796642,33.493438,54.56328,4.647593,15.225141,1.802945,0.665452,0.7790077,0.09042957,0.6945825,0.10306999,0.23761096,0.035568313,0.22190629,0.03794212,,,,,1,class1,0.999
3021A,"Bédard, 2006",2.75,2750,Sodic HP,70.2932,0.28348799,15.78073,2.1746966,1.0469716,0.03336921,2.6824638,5.159902,2.4340486,0.1111305,1.651681,1.4187152,0.9862602,0.4717238,,3.97,30.1,28.6,,,3.6,51.7,,24.754183,460.70263,4.6074098,60.7343,4.1646232,,,1000.6864,1.592711,0.1781249,,4.2838681,0.5831745,24.336702,44.72618,4.549415,15.479737,2.1336613,0.7854856,1.3541258,0.18398048,1.0251367,0.17443823,0.47754132,0.05445578,0.32975592,0.05220011,,,,,1,class9,0.999
5040A,"Bédard, 2006",2.75,2750,Sodic HP,73.77395,0.10711119,15.08177,1.1900776,0.3068671,0.01694358,1.7434055,4.987854,2.7703254,0.02169968,1.1,1.3460795,1.0492307,0.55541429,,1.9,5.8,,,,7.6,31.3,,21.625522,371.09931,2.2208687,133.87907,1.715215,,0.03086139,2886.1109,4.003923,0.09398209,,13.660489,0.3955054,42.865886,74.49771,7.760357,24.090638,2.7846462,0.6876686,1.3168385,0.12921463,0.5251623,0.08202766,0.22731459,0.028388571,0.17765512,0.03135435,,,,,1,class13,0.955
6022A1,"Bédard, 2006",2.75,2750,Sodic HP,72.04698,0.27794285,14.83618,1.6929673,0.8129498,0.02332316,2.0706692,5.036072,3.0868054,0.11610658,0.81,1.2761082,0.9639482,0.61293909,,1.88,24.5,,,,5.9,40.1,,37.677739,710.50807,4.0244139,112.89084,3.0945261,,0.05744215,1928.9442,3.117087,0.08769716,,7.425245,0.308792,35.928796,69.57024,7.652425,25.57621,3.144545,0.7649939,1.5272346,0.18208433,0.9266497,0.13958002,0.33729803,0.038758617,0.24251414,0.0323889,,,,,0.94,class9,0.996
6084A,"Bédard, 2006",2.75,2750,Sodic HP,73.62643,0.17374358,14.88174,1.43164,0.5877277,0.02301038,2.0153849,5.130605,2.0846188,0.04510845,1.17,1.3912304,1.0362433,0.40631052,,2,14.5,,,,15.6,33.3,,41.251421,376.83259,3.108516,103.34133,2.7560556,,0.39928789,442.0295,2.815623,0.20798098,,1.8030018,0.4243363,12.265252,22.07426,2.366419,7.866229,1.0622134,0.4474032,0.8052038,0.12009534,0.5824422,0.1043207,0.31099509,0.039815559,0.24645664,0.03186217,,,,,1,class1,1
3087A,"Bédard, 2006",2.75,2750,Sodic HP,69.73051,0.43020252,15.29541,2.7236189,1.3482321,0.0328267,3.3075693,4.71495,2.2608753,0.15579978,1.0116803,1.4989893,0.9431296,0.47951204,,1.98,36.9,23.6,,,6.5,45.7,,46.537637,316.09554,3.2269613,156.06706,4.0702655,,0.162437,608.8904,4.088587,0.22400928,,19.5159238,0.437683,45.04485,79.94967,7.274836,22.101888,2.4049915,0.6584668,1.0665478,0.15583296,0.738703,0.13644365,0.38079885,0.040046182,0.23350456,0.03784822,,,,,0.998,class3,0.999
7289a,"Bédard, 2006",2.75,2750,Sodic HP,72.93025,0.30970381,14.88576,1.4460071,0.8491879,0.02997134,1.0290159,4.575624,3.8463215,0.09815348,0.33,1.2732919,1.0976283,0.84061136,,3.091653,,,,,,,,61.390677,161.56378,3.2656565,86.76573,2.9919218,,,,3.091653,,,12.9649945,,31.913833,,,24.932682,3.0916525,0.5983844,,,,,,,0.48881928,,,,,,0.99,class14,0.984
,Compiled by Martin and Moyen (2002),3.24,3240,Sodic HP,72.55,0.2,15.37,1.4851485,0.37,0.03,2.12,4.91,2.74,0.05,,1.391792,1.0316854,0.55804481,,,16,5,3,2,1,46,,74,516,1,120,7,,,397,,,,1,,23.65,56.1,,25.41,2.87,0.553,2.054,,1.153,0.192,0.46,,0.408,0.059,,,,,0.942,class1,0.989
,Compiled by Martin and Moyen (2002),2.62,2620,Sodic HP,71.23,0.15,15.16,1.620162,0.88,0.04,2.19,5.45,3.02,0.09,,1.2390933,0.9348409,0.55412844,,,,,,,,,,102,961,3.8,97,2.5,,,1299,,,,,,17,32,,13,1.6,0.59,1.296018,0.19,0.74,,,,0.49,0.3,,,,,1,class1,0.999
,Compiled by Martin and Moyen (2002),2.76,2760,Sodic HP,72.64,0.29,14.76,1.6310891,0.55,0.05,1.99,5.32,2.6,0.06,,1.2761251,0.972042,0.4887218,,,,,,,,,,82,474,7,92,,,,611,,,,6,,15.6,30.6,,11.5,2.5,0.53,1.9936426,0.29,,,,,0.38,0.06,,,,,0.999,class1,0.999
,Compiled by Martin and Moyen (2002),2.75,2750,Sodic HP,70.8,0.23,15.8,1.7641764,0.87,0.04,2.05,5.03,2.39,0.07,,1.4546294,1.0829905,0.47514911,,4.2,0.4,20,5,10,7,51,,140,820,5,50,5,,6.6,970,2.5,0.25,,3,0.9,11.2,18,,7,1.5,0.31,1.3125597,0.2,,,,,0.51,0.09,,,,,1,class1,0.998
,Compiled by Martin and Moyen (2002),2.75,2750,Sodic HP,69.4,0.19,15.9,1.440144,0.78,0.03,1.83,5.57,2.52,0.06,,1.3371522,1.0447953,0.4524237,,3.5,30,24,3.9,11,17,50,,110,1190,5,10,5,,6.8,980,2.3,0.25,,2.7,1,7.7,13,,6,1.28,0.3,1.2449692,0.2,,,,,0.46,0.07,,,,,1,class13,1
,Compiled by Martin and Moyen (2002),2.75,2750,Sodic HP,71.5,0.18,15.5,1.4671467,0.74,0.04,1.8,4.89,3.24,0.05,,1.3418012,1.0455707,0.66257669,,4.4,30,24,3.9,11,55,47,,150,760,10,20,5,,8.5,1080,2.8,0.7,,3.4,1.8,10.9,18,,8,1.74,0.32,1.8071709,0.3,,,,,0.65,0.12,,,,,1,class13,1
,Compiled by Martin and Moyen (2002),2.75,2750,Sodic HP,71.2,0.17,15.4,1.2781278,0.72,0.04,1.52,4.92,3.17,0.05,,1.3362002,1.0777582,0.64430894,,3.9,26,21,3.5,10,50,43,,120,720,5,40,5,,5.5,1080,2.1,0.5,,2.1,1.2,8.8,15,,6,1.25,0.35,1.2351659,0.2,,,,,0.45,0.08,,,,,1,class13,0.842
,Compiled by Martin and Moyen (2002),2.75,2750,Sodic HP,71,0.17,15.8,1.350135,0.66,0.03,1.72,5.21,2.95,0.06,,1.3430625,1.0610077,0.56621881,,3.9,28,21,3.5,10,53,52,,120,910,5,40,10,,7.2,1110,2.5,0.5,,2.4,1.5,8.5,15,,60,1.46,0.34,1.3007872,0.2,,,,,0.5,0.1,,,,,1,class13,1
,Compiled by Martin and Moyen (2002),2.75,2750,Sodic HP,71.5,0.16,15.7,1.1341134,0.6,0.02,1.37,5.27,3.25,0.05,,1.2881948,1.0695869,0.61669829,,3.7,28,21,3.3,9,5,25,,130,800,10,30,10,,3.7,1160,2.2,0.25,,2,1,8,13,,5,1.18,0.3,1.2116652,0.2,,,,,0.46,0.09,,,,,1,class13,1
,Compiled by Martin and Moyen (2002),2.87,2870,Sodic HP,68.82,0.56,13.95,3.8271827,1.16,0.04,2.34,4.95,2.6,0.17,,1.2730915,0.9170257,0.52525253,,,,,,,,,,46,620,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.934,class0,0.999
,Compiled by Martin and Moyen (2002),2.8,2800,Sodic HP,72.37,0.15,15.44,0.93,0.4,0.01,2.07,4.9,2.66,0.05,,1.4112997,1.0500548,0.54285714,,,,23,14,2,,25,,71,505,1,86,3,,,830,,,,,0.77,,,,,,,,,,,,,,,,,,,0.976,class2,1
,Compiled by Martin and Moyen (2002),2.8,2800,Sodic HP,73.18,0.1,15.79,1.0441044,0.57,0.02,1.5,4.58,3.66,0.04,,1.3734873,1.1101253,0.79912664,,,,,,1,,14,,44,354,0.7,149,,,,1216,,,,,,7,25,,,,,,,,,,,,,,,,,1,class2,1
,Compiled by Martin and Moyen (2002),2.53,2530,Sodic HP,73.2,0.25,13.7,2.49018,0.6,0.03,1.63,4.16,2.47,0.07,,1.4394937,1.0976737,0.59375,,,36,5,177,3,12,60,,,421,6,88,,,,747,,,,,,,,,,,,,,,,,,,,,,,,1,class0,0.77
,Compiled by Martin and Moyen (2002),2.53,2530,Sodic HP,70.91,0.19,15.49,1.8210711,0.75,0.06,1.75,3.96,2.63,0.1,,1.6546658,1.2349223,0.66414141,,,19,13,95,37,3,23,,,802,8,49,,,,1830,,,,,,,,,,,,,,,,,,,,,,,,1,class0,0.981
,Compiled by Martin and Moyen (2002),2.53,2530,Sodic HP,72.12,0.17,14.37,1.7840954,0.8,0.02,1.77,3.55,2.88,0.04,,1.604237,1.1802113,0.81126761,,,17,13,99,25,,38,,,948,4,52,,,,2896,,,,,,,,,,,,,,,,,,,,,,,,1,class2,0.986
,Compiled by Martin and Moyen (2002),2.53,2530,Sodic HP,72.01,0.34,14.35,3.1141044,1.12,0.03,2.83,2.89,2.29,0.11,,1.9839284,1.1592495,0.79238754,,,,34,92,13,21,53,,,486,4,37,,,,424,,,,,,,,,,,,,,,,,,,,,,,,1,class0,0.999
,Compiled by Martin and Moyen (2002),3.105,3105,Sodic HP,72,0.23,15.3,1.2331233,0.52,0.02,2.66,4.82,2.17,0.03,,1.4885781,1.0122568,0.45020747,,,18,,,,,,,40,512,3,106,,,,350,,,,,,11.47,24.48,2.51,8.8,1.56,0.41,1.2,,0.77,,0.15,,,,,,,,1,class1,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Sodic HP,71.71,0.17,14.62,1.570054,0.51,0.05,1.91,4.65,2.42,0.05,,1.4236733,1.0638903,0.52043011,,2,9,,,3,2,,,70,336,3.6,94,2.5,,,565,,,,6.9,1,25.1,42.6,,14.1,1.9,0.4,1.2,0.1,0.6,0.1,0.3,,0.3,,,,,,1,class1,1
KVY3A,"Yearron, 2003",3.227,3227,Sodic HP,69.62,0.33,15.8,2.87,1.68,0.05,2.37,4.6,2.53,0.14,,1.533084,1.0810652,0.55,,,51.74,42.93,,22.28,8.74,36.41,,74.48,484.22,7.83,100.44,4.98,,,463.37,,,,,,18.09,35.44,,14.49,2.55,0.63,1.89,0.28,,,,,0.66,0.08,,,,,0,class12,0.999
NLG21B,"Yearron, 2003",3.213,3213,Sodic HP,73.99,0.13,14.9,1.32,0.5,0.02,1.14,5.52,2.41,0.06,,1.2746353,1.0826605,0.4365942,,,8.56,127.79,,505.31,,29.39,,68,321.64,2.65,67.74,3.39,,,369.69,,,,,,,26.54,,,,,,,,,,,,,,,,,1,class2,1
STZ26,"Yearron, 2003",3.445,3445,Sodic HP,73.64,0.15,15.42,1.04,0.22,0.02,1.71,5.06,2.7,0.04,,1.3710587,1.0741193,0.53359684,,,7.93,,,,,40.91,,65.55,642.61,1.66,99.22,2.13,,,587.23,,,,,,13.47,33.9,,9.02,,,,,,,,,,,,,,,0.999,class2,0.999
STZ10,"Yearron, 2003",3.445,3445,Sodic HP,73.41,0.22,14.12,1.62,0.46,0.04,1.43,6.45,2.2,0.07,,1.0868022,0.9055749,0.34108527,,,15,127,,448,2,32,,44,551,5,95,,,,480,,,,,,13.73,25.76,,11.38,2.33,0.54,1.08,,,,,,0.54,,,,,,1,class1,1
STZ15,"Yearron, 2003",3.445,3445,Sodic HP,70.91,0.23,15.78,1.38,0.51,0.04,1.32,7.55,2.21,0.06,,1.065304,0.9167634,0.29271523,,,15,98,,404,2,34,,46,666,6,84,,,,520,,,,,,12.99,22,,10.2,2.27,0.65,0.94,,,,,,0.45,,,,,,1,class1,1
STZ21/Q6,"Yearron, 2003",3.445,3445,Sodic HP,74.35,0.12,15.03,1.08,0.15,0.02,1.94,5.05,2.22,0.04,,1.4032619,1.0556173,0.43960396,,,6.42,,,,,31.95,,60.34,397.01,2.71,96.84,3.23,,,295.65,,,,,,12.14,20.07,,8.41,1.31,0.5,0.89,0.14,,,,,0.29,0.03,,,,,1,class1,0.999
STZ3,"Yearron, 2003",3.445,3445,Sodic HP,72.55,0.24,14.95,1.3,0.53,0.04,1.44,6.41,2.43,0.12,,1.1346902,0.9465833,0.37909516,,,15,75,,249,2,37,,55,599,6,89,,,,546,,,,,,17.97,28.13,,12.43,2.74,0.62,0.81,,,,,,0.5,,,,,,1,class1,1
STZ4,"Yearron, 2003",3.445,3445,Sodic HP,73.52,0.22,14.63,1.3,0.53,0.04,1.39,6.08,2.23,0.07,,1.1783153,0.9790299,0.36677632,,,15,81,,263,2,35,,54,579,4,91,,,,524,,,,,,14.5,26.58,,11.22,2.15,0.62,1.54,,,,,,0.48,,,,,,1,class1,1
STZ6,"Yearron, 2003",3.445,3445,Sodic HP,73.05,0.24,15.19,1.36,0.77,0.07,1.39,5.7,2.16,0.07,,1.2966145,1.0665295,0.37894737,,,15,86,,275,2,42,,51,530,6,107,,,,451,,,,,,14.43,21.09,,7.89,1.33,0.35,0.9,0.14,,,,,0.25,0.04,,,,,1,class1,1
STZ8,"Yearron, 2003",3.445,3445,Sodic HP,72.08,0.22,15.39,1.41,0.55,0.05,1.59,6.2,2.44,0.07,,1.1985275,0.9782775,0.39354839,,,15,92,,285,2,37,,63,603,5,95,,,,519,,,,,,16.95,26.9,,11.98,2.5,0.62,1.35,,,,,,0.5,,,,,,1,class1,1
STZ9,"Yearron, 2003",3.445,3445,Sodic HP,72.76,0.2,14.93,1.18,0.39,0.05,1.33,6.51,2.6,0.05,,1.1039692,0.9365102,0.39938556,,,15,74,,291,2,33,,57,588,5,90,,,,603,,,,,,12.34,22.53,,8.88,2.13,0.53,0.95,,,,,,0.43,,,,,,1,class1,1
8-7-03A,"Yearron, 2003",3.23,3230,Sodic HP,71.802,0.254,15.306,1.4315977,1.02,0.063,1.358,4.326,2.361,0.137,,1.5824515,1.2606368,0.54576976,,5.220851,49.330871,7.301637,172.8023,13.20283,12.388222,43.44862,,55.5446,513.263,4.309153,159.43433,3.230839,,,444.3151,4.086092,0.303816,,2.896145,0.7118982,18.942459,28.61501,2.911865,10.973641,2.364025,0.669426,1.840047,0.1961634,0.9905634,0.194262,0.4986162,0.083367,0.4799262,0.1181784,,,,,1,class9,1
4-7-05C,"Yearron, 2003",3.23,3230,Sodic HP,72.848,0.139,14.927,0.6208689,0.514,0.042,1.074,5.582,3.283,0.094,,1.1719779,1.0161776,0.58814045,,1.421538,9.222244,9.415669,150.4048,12.313541,36.566397,35.69051,,69.69458,285.5753,2.074167,53.17803,2.025447,,,290.335,1.507259,0.2499825,,2.079804,0.636613,9.128628,15.42562,1.687068,5.842386,1.809247,0.4518255,0.750442,0.106057,0.5092075,0.088203,0.155024,0.035343,0.251612,0.166307,,,,,1,class13,0.999
,Unpublished,,NA,Sodic HP,71.31,0.14,14.92,1.1490549,0.55,0.02,1.96,5.25,2.48,,,1.3178799,1.0023559,0.47238095,,2.12,16,21,,11,,34,,56,729,3.36,62,2.38,,1.33,951,,0.28,,2.64,0.59,13.7,25.7,3.2,11.67,2.02,0.63,1.44,0.16,0.69,0.11,0.29,0.03,0.28,0.04,,,,,0,class1,0.999
IND 218,Moyen et al. 2003,2.52,2520,Sodic HP,70.11,0.26,15.15,2.4204889,0.97,,2.8,4.59,2.59,0.1,,1.4631292,0.9808652,0.56427015,,,28.87,43.16,6.21,13.86,12.24,44.4,18.3,56.6,489.36,5.29,120.34,1.99,0.78,0.54,700.81,3.13,0.13,12.82,3.02,0.18,23.76,46.76,4.96,17.7,2.7,0.78,1.86,0.23,1.13,0.18,0.48,0.07,0.45,0.07,,,,,0.985,class9,1
,Unpublished (GEUS),,NA,Sodic HP,69.92,0.21,15.32,1.8873897,0.78,0.03,2.38,5.19,2.44,0.09,,1.3704009,0.9879675,0.47013487,,2.3,26.9,17.3,3.7,10.3,7.4,61.6,21.2,69.7,576.9,4.9,84.1,1.5,,,711.3,3,,15.1,6.1,,29,47,,19,2.3,0.6,,,,,,,0.42,0.06,,,,,0.992,class1,0.98
,Unpublished (GEUS),,NA,Sodic HP,70.69,0.18,15.22,1.639982,0.4,0.02,2.32,5.01,2.68,0.07,,1.3658947,0.9908106,0.53493014,,2.8,18.2,9.5,2.5,5,5.3,55,19.3,65.7,464.3,4.2,120,2.6,,,869.6,4,,16.9,7.5,,28,51,,21,2.4,0.7,,,,,,,0.1,0.06,,,,,0.955,class1,0.999
,Unpublished (GEUS),,NA,Sodic HP,71.483,0.254,15.31,1.6588659,0.765,0.022,2.518,5.1,2.175,0.096,,1.4249411,0.9991782,0.42647059,,3.54,19.41,8.12,,7.74,3.65,42.08,21.98,89.78,322.19,3.16,54.44,3.56,,,350.98,3.112135,,8.94,3.944635,0.336528,14.399776,26.07088,,10.105175,1.755443,0.49388,,0.151414,,,,,0.233585,0.033035,,,,,1,class1,0.999
,Unpublished (GEUS),,NA,Sodic HP,73.893,0.151,14.644,0.9594959,0.391,0.013,1.599,5.09,2.967,0.039,,1.2640321,1.0104544,0.58290766,,3.41,12.28,2.72,,2.41,6.88,25.62,21.88,67.29,232.72,2.17,72.1,1.48,,,477.75,2.43,,8.75,2.41,0.46,5.88,11.84,,5.31,1.12,0.27,,0.13,,,,,0.16,0.03,,,,,1,class1,0.93
,"Garde, 1997",3.11,3110,Sodic HP,69.67,0.24,16.19,1.1359544,0.81,0.03,2.63,5.35,2.71,0.13,0.4,1.3796705,0.9802251,0.50654206,,,21,13,86,9,23,28,18,52,1130,2,84,2.2,,,1850,,,25,4,,,,,,,,,,,,,,,,,,,,1,class0,0.835
,"Garde, 1997",3.11,3110,Sodic HP,71.64,0.19,15.79,0.8169753,0.39,0.02,2,4.85,2.59,0.08,0.27,1.4644446,1.0951062,0.53402062,,,10,11,52,4,7,31,19,39,808,1,76,0.8,,,1020,,,23,2,,,,,,,,,,,,,,,,,,,,1,class2,1
,"Garde, 1997",3.11,3110,Sodic HP,71.58,0.22,16.01,0.77,0.4,0.03,2.23,4.91,2.246,0.079,0.21,1.5235156,1.0993441,0.45743381,,,13,,42,3,8,31,18,14,896,1,102,0.5,,,1530,,,22,2,,,,,,,,,,,,,,,,,,,,1,class2,1
,"Garde, 1997",3.11,3110,Sodic HP,71.04,0.22,15.75,1.3639316,0.57,0.01,1.97,5.64,2.16,0.07,0.37,1.3558395,1.0362987,0.38297872,,1.6,14,,60,4,6,48,20,18,816,0.7,74,1.6,,1,1180,5,,16,1,,19,26,,13,1,,,,,,,,,,,,,,0,class1,0.999
,"Garde, 1997",3.11,3110,Sodic HP,71.55,0.16,16.09,0.6379392,0.34,0.02,2.11,5.41,2.16,0.07,0.31,1.4317434,1.0673654,0.39926063,,,8,,46,2,4,28,18,16,844,1,69,,,,943,,,21,1,,,,,,,,,,,,,,,,,,,,1,class2,1
,"Garde, 1997",3.11,3110,Sodic HP,72.23,0.16,15.64,0.8908879,0.33,0.02,2.05,4.81,2.16,0.07,0.29,1.5257064,1.1188732,0.44906445,,,9,3,59,2,2,23,17,5.1,742,1,60,0.5,,,1590,,,22,3,,,,,,,,,,,,,,,,,,,,1,class2,1
,"Garde, 1997",3.11,3110,Sodic HP,73,0.15,15.01,1.0369753,0.32,0.03,1.92,5.03,2.42,0.066,0.41,1.3777789,1.0434236,0.48111332,,1.7,,,106,5,8,41,18,73,575,2,75,2.6,,,778,4,,28,7.1,,16,25,,10,1.7,0.5,,,,,,,,,,,,,1,class1,1
,"Garde, 1997",3.11,3110,Sodic HP,72.55,0.07,15.62,0.49,0.1,0.02,2.24,5.41,2.4,0.021,0.06,1.3585168,1.0031691,0.44362292,,0.9,3,,29,2,4,13,16,43,535,1,47,1,,,513,3,1,19,1,,3,5,,,0.2,,,,,,,,0.24,,,,,,1,class13,1
,"Garde, 1997",3.06,3060,Sodic HP,75.48,0.12,13.28,0.7269563,0.24,0.02,0.97,2.68,5.81,0.036,0.25,1.24137,1.0656793,2.16791045,,,10,5,96,3,6,14,12,124,314,2,25,1.1,,,2240,,,26,10,,,,,,,,,,,,,,,,,,,,1,class2,1
